F3,F4,C3,C4,P3,P4,Cz,Pz,Accel_x,Accel_y,Accel_z,Sample
-4.547473508864641190e-13,1.546140993013978004e-11,-1.045918907038867474e-11,-6.366462912410497665e-12,-2.046363078989088535e-12,-5.229594535194337368e-12,-1.364242052659392357e-11,-1.318767317570745945e-11,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,0.000000000000000000e+00
-7.225440217929053688e+02,-4.804961637744884229e+02,-3.514198204708734465e+02,-4.772026382546641798e+02,-4.378632018809448709e+02,-6.147861756472366324e+02,-1.227572372462571366e+03,-1.973745117796399882e+02,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.000000000000000000e+00
-1.607294763449622224e+03,-1.070544560730594640e+03,-7.542787109902417342e+02,-7.423622105700201246e+02,-8.638381353262795983e+02,-1.196746747664467648e+03,-2.503163779750324466e+03,-5.990615604374593204e+02,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,2.000000000000000000e+00
-2.199200339872456880e+03,-1.699517811204075770e+03,-1.200579714930865748e+03,-8.818964185049285334e+02,-1.289077960275213854e+03,-1.745728927244953866e+03,-3.463958147168648793e+03,-1.144781233665003583e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,3.000000000000000000e+00
-2.251167146152087298e+03,-2.135127347840350012e+03,-1.586289772207715941e+03,-1.075221025270429209e+03,-1.672576726204913030e+03,-2.182379914696242395e+03,-4.045287300402971596e+03,-1.565698533923478180e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,4.000000000000000000e+00
-2.308590456805219674e+03,-2.258269752980917929e+03,-1.797575601372733217e+03,-1.287552417850993152e+03,-1.923105750715611066e+03,-2.384428458653350390e+03,-4.755592089026624308e+03,-1.706443672058710945e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,5.000000000000000000e+00
-2.806626890406469556e+03,-2.265935484079433536e+03,-1.859472227721286799e+03,-1.374717768035085783e+03,-2.035137372569577565e+03,-2.422755588890588115e+03,-5.877504956515054801e+03,-1.709373167811163057e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,6.000000000000000000e+00
-3.340983564925677456e+03,-2.456865307489881616e+03,-1.932776139560038246e+03,-1.354451595081698315e+03,-2.137160445417329811e+03,-2.554530188273995918e+03,-7.018060907532887541e+03,-1.827532059939962664e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,7.000000000000000000e+00
-3.598357940208372838e+03,-2.818876834324879383e+03,-2.106103466930535888e+03,-1.361463403843301649e+03,-2.314255439111497253e+03,-2.854514424347005843e+03,-7.940965468581616733e+03,-2.093059251610274259e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,8.000000000000000000e+00
-4.031041656732166302e+03,-3.042542671810454522e+03,-2.278546375244576666e+03,-1.432899728354167110e+03,-2.488629014959009510e+03,-3.086178868601366958e+03,-8.852766110137470605e+03,-2.287940675582533913e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,9.000000000000000000e+00
-4.864612095291178775e+03,-2.987285612191756627e+03,-2.321984806501530329e+03,-1.496740351154496921e+03,-2.563977726703890767e+03,-3.076366015082236117e+03,-9.563594979147172126e+03,-2.263825019576871455e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.000000000000000000e+01
-5.635037566117258393e+03,-2.879288871486805874e+03,-2.261017339396552416e+03,-1.488744467916369786e+03,-2.561513678675092706e+03,-2.973431029301991657e+03,-9.765709635735584015e+03,-2.144526138318035009e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.100000000000000000e+01
-6.263318749096554711e+03,-2.958818912635255856e+03,-2.217267296933624493e+03,-1.402756675596612467e+03,-2.551890063320621721e+03,-2.998055209302258390e+03,-1.001789788674594456e+04,-2.138980400626817755e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.200000000000000000e+01
-7.154598264602833297e+03,-3.172650096286212829e+03,-2.262070109918842718e+03,-1.311441373539589449e+03,-2.586767963478306228e+03,-3.158299748066101529e+03,-1.071782753297473573e+04,-2.278558718289439639e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.300000000000000000e+01
-8.035656784078915734e+03,-3.301356713193153155e+03,-2.355543855006700142e+03,-1.314421897877086849e+03,-2.684107453455028917e+03,-3.299872839623905293e+03,-1.106711628049822502e+04,-2.407911468894661084e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.400000000000000000e+01
-8.342951487293352329e+03,-3.215638756356232079e+03,-2.368036958183020488e+03,-1.366718790674909997e+03,-2.749432204630035812e+03,-3.276616971825133987e+03,-1.101081014965704344e+04,-2.362758800734215583e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.500000000000000000e+01
-8.462516826964447318e+03,-3.007139751170716863e+03,-2.226394336295409175e+03,-1.298066784863607381e+03,-2.654175183570479021e+03,-3.098807343464445694e+03,-1.193856398085701039e+04,-2.166171211358477649e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.600000000000000000e+01
-8.911156134544178713e+03,-2.951489826834985251e+03,-2.081466864664288096e+03,-1.118171313204820308e+03,-2.514190495192498929e+03,-3.003814810995112566e+03,-1.346662626644812008e+04,-2.063849270939125745e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.700000000000000000e+01
-9.294733972934682242e+03,-3.172162917543642834e+03,-2.129630912607187383e+03,-1.040788742185098499e+03,-2.574755736937138863e+03,-3.172999829212336408e+03,-1.345023016600215487e+04,-2.212445570616519944e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.800000000000000000e+01
-9.534249869956438488e+03,-3.339876883610793811e+03,-2.241564788376892466e+03,-1.083543220867064974e+03,-2.719561636220672881e+03,-3.352721778891666872e+03,-1.284582918664709541e+04,-2.363822028978470371e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.900000000000000000e+01
-1.017347437048253414e+04,-3.108616674151532607e+03,-2.129926806955426400e+03,-1.027506941558789322e+03,-2.615593332754142921e+03,-3.187831935373170836e+03,-1.458570787247065346e+04,-2.199614444146683581e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,2.000000000000000000e+01
-1.054038021869692056e+04,-2.783916713548338976e+03,-1.895504690783413480e+03,-8.728665165898253235e+02,-2.399267806242476581e+03,-2.903212900366152098e+03,-1.681139757923163052e+04,-1.919820614057940020e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,2.100000000000000000e+01
-9.791907410402400274e+03,-2.882880666133431532e+03,-1.873048152303297456e+03,-8.246198174504813778e+02,-2.463201945588590206e+03,-2.973301150216580936e+03,-1.575748379061661763e+04,-1.947805701728980011e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,2.200000000000000000e+01
-9.878920939278366859e+03,-3.143368809147259071e+03,-1.951834391634858093e+03,-7.870650183521056533e+02,-2.583549399430169615e+03,-3.188743900745856081e+03,-1.489616243120015861e+04,-2.126559930068214726e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,2.300000000000000000e+01
-1.248612238935066853e+04,-2.949292089301855412e+03,-1.778362753468604069e+03,-5.459433425837889899e+02,-2.303264567979039384e+03,-3.008247056644216173e+03,-1.923484773735675117e+04,-1.986935047878038176e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,2.400000000000000000e+01
-1.346437492602723432e+04,-2.660670019081381724e+03,-1.622683910946953347e+03,-4.475603215259874332e+02,-2.132230126815805761e+03,-2.782622892757545742e+03,-2.164667412924583550e+04,-1.775109380317599516e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,2.500000000000000000e+01
-7.277938809273216066e+03,-3.279747985658081689e+03,-2.136377626953969866e+03,-1.051038746503977791e+03,-3.038115063629996257e+03,-3.430986599862078037e+03,-1.043419103519296550e+04,-2.242668092090460050e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,2.600000000000000000e+01
3.146274160975376617e+03,-4.724917254849821802e+03,-3.184485333051745329e+03,-2.083865521203999378e+03,-4.705495201823498064e+03,-4.831580065062262292e+03,9.705238727323423518e+03,-3.339111850876613516e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,2.700000000000000000e+01
8.959669022478186889e+03,-5.739328306662144314e+03,-3.869778019951909300e+03,-2.655685821004599347e+03,-5.729698341019025975e+03,-5.789265547474757113e+03,2.130906935170539873e+04,-4.120028959667698473e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,2.800000000000000000e+01
7.825166595813532695e+03,-5.687509108757305512e+03,-3.817644438211145371e+03,-2.535204541132275608e+03,-5.627910695325242159e+03,-5.746885632919979798e+03,1.909806606097083568e+04,-4.098268762403679830e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,2.900000000000000000e+01
5.679763594114192529e+03,-5.232647561984980712e+03,-3.533425790458121810e+03,-2.308776807459830707e+03,-5.264982304606551224e+03,-5.353325031362242044e+03,1.439608317080825509e+04,-3.755893637798862073e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,3.000000000000000000e+01
6.269127094745841532e+03,-5.081210998611719333e+03,-3.434534432383758940e+03,-2.300562196192354349e+03,-5.251736114194527545e+03,-5.228579609603939389e+03,1.471775952864731516e+04,-3.606298441616656419e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,3.100000000000000000e+01
7.233918973730445941e+03,-5.168659092399061592e+03,-3.401473099068090960e+03,-2.254344268444569025e+03,-5.292374336854364628e+03,-5.268402266825964034e+03,1.560487779806495200e+04,-3.611499626081123552e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,3.200000000000000000e+01
6.748260591593400022e+03,-5.225169771352308089e+03,-3.322310698470537318e+03,-2.067069714795271921e+03,-5.162491951711836919e+03,-5.262879330584603849e+03,1.356985046031462116e+04,-3.614749907797839569e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,3.300000000000000000e+01
6.397655592859420722e+03,-5.210524818139470881e+03,-3.298966395927600388e+03,-1.981574220122189672e+03,-5.095459794452420283e+03,-5.250249451603548550e+03,1.185121677407955212e+04,-3.610120779215071707e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,3.400000000000000000e+01
6.919854955725720174e+03,-5.090587818295020043e+03,-3.286075317698512663e+03,-2.030738913408973531e+03,-5.128846928414455761e+03,-5.189363246519671520e+03,1.195122392458378999e+04,-3.531331633029860313e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,3.500000000000000000e+01
7.009339150682284526e+03,-4.862072927338076624e+03,-3.134958462443029475e+03,-1.974150622585768815e+03,-5.026686458995895919e+03,-4.994717757082165917e+03,1.119248095220248069e+04,-3.325443871052452778e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,3.600000000000000000e+01
6.517413618042827693e+03,-4.747707902340642249e+03,-2.948901923928850010e+03,-1.779853493487848482e+03,-4.833328214626189947e+03,-4.841987161950017253e+03,9.220564443119552379e+03,-3.176695673614366569e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,3.700000000000000000e+01
6.572201831329412016e+03,-4.874967099418639009e+03,-2.928771118268079590e+03,-1.656321528027946442e+03,-4.795370104170146078e+03,-4.910124398503481643e+03,8.352526507626815146e+03,-3.240777937135188949e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,3.800000000000000000e+01
7.048996183663119155e+03,-4.969499908640478679e+03,-2.991508641539129712e+03,-1.660108346259131395e+03,-4.863401232737275677e+03,-5.004028530346536172e+03,8.301162440210529894e+03,-3.325672515582134110e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,3.900000000000000000e+01
6.993337208597315112e+03,-4.771445043278836238e+03,-2.914943226921002861e+03,-1.646822967784480625e+03,-4.803782310089138264e+03,-4.860843660619157163e+03,7.060226365806699505e+03,-3.186241383504358055e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,4.000000000000000000e+01
6.591379216358385747e+03,-4.480734098852089119e+03,-2.714348631398511316e+03,-1.539770914931756352e+03,-4.625571846256621939e+03,-4.599316753401142705e+03,5.248691210706286256e+03,-2.931795226723676024e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,4.100000000000000000e+01
6.589628450088664067e+03,-4.433130881796718313e+03,-2.584684372248604177e+03,-1.400353404054056682e+03,-4.513199394244007635e+03,-4.510817438693359691e+03,4.529393752140947981e+03,-2.838339905033869854e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,4.200000000000000000e+01
6.861263537375831220e+03,-4.582620301263297733e+03,-2.589416326021807436e+03,-1.301715364803401144e+03,-4.508770395081352035e+03,-4.605837487108600726e+03,4.105619881933050237e+03,-2.925800712386219402e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,4.300000000000000000e+01
6.910048269286486175e+03,-4.611200058867008011e+03,-2.609329993678412393e+03,-1.262166431619950117e+03,-4.508035718571983125e+03,-4.645010332959767766e+03,2.737003668758129606e+03,-2.967286000602850436e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,4.400000000000000000e+01
6.774123732618938448e+03,-4.397041268076384767e+03,-2.528873311891624326e+03,-1.241180181017625046e+03,-4.436812262440274935e+03,-4.496950955121039442e+03,1.398364902062923647e+03,-2.824417680053110416e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,4.500000000000000000e+01
6.682067622717852828e+03,-4.145550793849968613e+03,-2.364410934086261932e+03,-1.167644883855176658e+03,-4.308036477325682426e+03,-4.282890749926802528e+03,8.143565931485859437e+02,-2.608208507812465996e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,4.600000000000000000e+01
6.647079158610665218e+03,-4.095836515866341415e+03,-2.232867000708379692e+03,-1.032029651338568783e+03,-4.192782461545224578e+03,-4.199829757125387914e+03,-2.855440019527504774e+02,-2.518285173174828287e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,4.700000000000000000e+01
6.685196852389623018e+03,-4.218767719230635521e+03,-2.213366255185250793e+03,-9.206089621286994316e+02,-4.156457096260617618e+03,-4.274682945010642470e+03,-2.027648127926047891e+03,-2.589755561024769577e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,4.800000000000000000e+01
6.807050050715932230e+03,-4.258115171007302706e+03,-2.239892548557230384e+03,-8.953728090567610707e+02,-4.168644974493934569e+03,-4.325352197920846265e+03,-2.633154408441090709e+03,-2.644423749901903648e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,4.900000000000000000e+01
6.819274979887202790e+03,-4.066230293595418971e+03,-2.178782446604513098e+03,-8.956568900933079931e+02,-4.123016428070980510e+03,-4.193537324345917114e+03,-2.524622833259445088e+03,-2.521730857059817936e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,5.000000000000000000e+01
6.616283709404665387e+03,-3.810504414163547153e+03,-2.015420268959996065e+03,-8.260247973028281194e+02,-3.988208651289490263e+03,-3.966344866760116020e+03,-3.975621138268124014e+03,-2.302755528415813387e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,5.100000000000000000e+01
6.474728573664280702e+03,-3.751709971637742456e+03,-1.881737937605525076e+03,-6.945148179805482869e+02,-3.862308651501411987e+03,-3.864973001859959822e+03,-5.793887545737990877e+03,-2.205533601914105930e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,5.200000000000000000e+01
6.631975403082722551e+03,-3.881192096913708156e+03,-1.870669028372910816e+03,-5.968221796004636417e+02,-3.831171622979899439e+03,-3.936051686224216155e+03,-5.296702656013726482e+03,-2.280310605614192809e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,5.300000000000000000e+01
6.807975566328814239e+03,-3.929450936138146972e+03,-1.902903822112506077e+03,-5.804667770126973210e+02,-3.842999590256501506e+03,-3.984947684962301082e+03,-5.191336917416952019e+03,-2.336551766737348771e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,5.400000000000000000e+01
6.642494556006210587e+03,-3.741539349499501441e+03,-1.838577999732784974e+03,-5.825973089740575688e+02,-3.785339339364722491e+03,-3.849674348655096310e+03,-9.057613177128438110e+03,-2.209561752290306231e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,5.500000000000000000e+01
6.412030042989691538e+03,-3.492712200612099878e+03,-1.674346886937991258e+03,-5.187090614168937464e+02,-3.646492070457749378e+03,-3.627175833632718877e+03,-1.092105255170380406e+04,-1.990456288470162235e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,5.600000000000000000e+01
6.667343038323904693e+03,-3.438841406872154494e+03,-1.544469519166373175e+03,-3.930633236803430464e+02,-3.524446899606547959e+03,-3.532053354142698481e+03,-1.724025929827154869e+03,-1.894613010761453552e+03,9.446745872497558594e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,5.700000000000000000e+01
7.353871644670812202e+03,-3.566178946483065829e+03,-1.537452368470832880e+03,-2.953014659782161289e+02,-3.494518050734508506e+03,-3.603619386973283326e+03,1.435558100085432852e+04,-1.966994880699759960e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,5.800000000000000000e+01
7.810018770156319988e+03,-3.611502618098592848e+03,-1.573162444319920269e+03,-2.776824839561161298e+02,-3.505897702471888806e+03,-3.652303678692302583e+03,2.333214034681303019e+04,-2.021544086187106132e+03,9.523238182067871094e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,5.900000000000000000e+01
