F3,F4,C3,C4,P3,P4,Cz,Pz,Accel_x,Accel_y,Accel_z,Sample
-1.682565198279917240e-11,5.684341886080801487e-12,1.546140993013978004e-11,1.455191522836685181e-11,-1.068656274583190680e-11,-2.410160959698259830e-11,5.729816621169447899e-11,0.000000000000000000e+00,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,0.000000000000000000e+00
-3.679185760372183722e+02,9.229593914663701071e+01,-3.399518714010030180e+02,-3.948869305553580489e+02,-4.123631551345238222e+01,-9.154978498220793881e+01,-9.962914361422608636e+02,-6.386460641281576045e+02,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,1.000000000000000000e+00
-5.768097965391662001e+02,7.498181650147125765e+01,-7.670336279156351793e+02,-8.343301991110199651e+02,-1.353262882793553672e+02,-3.787860160070872553e+02,-1.626516145398272783e+03,-1.015851345776997732e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,2.000000000000000000e+00
-5.935451902355398488e+02,-1.022590355733927936e+01,-1.309639859040924421e+03,-1.243102769510558801e+03,-1.537474461667259220e+02,-7.053329642975563729e+02,-2.170390807946419955e+03,-1.195507514226414060e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,3.000000000000000000e+00
-6.139563662583054793e+02,-1.579619340574664648e+02,-1.874161565870764434e+03,-1.578908526744029587e+03,-7.239286302335608525e+01,-9.389866612992173032e+02,-2.982394591258137552e+03,-1.389197056463422086e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,4.000000000000000000e+00
-8.242188382282079147e+02,-4.472617837664503213e+02,-2.284592787649527963e+03,-1.894597374790252616e+03,-1.120941135291168393e+02,-1.215072841846393203e+03,-3.839996686212094573e+03,-1.613131002411570080e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,5.000000000000000000e+00
-1.056450517221716382e+03,-7.263151126194215976e+02,-2.451727740083546450e+03,-2.128137356676189938e+03,-2.920824775201672310e+02,-1.456243085706409147e+03,-4.501376164130522739e+03,-1.746223644798669966e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,6.000000000000000000e+00
-1.130271270857947457e+03,-7.868934433909164454e+02,-2.525747233589947427e+03,-2.176723341673443883e+03,-4.131636249672312715e+02,-1.411427380234451448e+03,-5.087111258440009806e+03,-1.873605790749476000e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,7.000000000000000000e+00
-1.279088324955650023e+03,-7.898452926446059337e+02,-2.747656477297492529e+03,-2.184771784090105939e+03,-5.142150962386160700e+02,-1.250680473828431332e+03,-5.591649363312584683e+03,-2.214122847901532168e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,8.000000000000000000e+00
-1.648920797808687894e+03,-9.342071929289697891e+02,-3.100869211066333264e+03,-2.364773716359772152e+03,-7.253646735879683547e+02,-1.310205532441048035e+03,-5.869492840569885630e+03,-2.663029987124442414e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,9.000000000000000000e+00
-1.777774448481513446e+03,-9.335225319032965672e+02,-3.288602324587109251e+03,-2.575578688536251775e+03,-7.760038583712120044e+02,-1.343726025681775354e+03,-6.283279769067495181e+03,-2.810735349031128408e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,1.000000000000000000e+01
-1.416879202935606827e+03,-6.683943705440053691e+02,-3.203382606836350988e+03,-2.572116378857153904e+03,-5.466080817623918620e+02,-1.096276042888236134e+03,-7.191989874223612787e+03,-2.619151949773112847e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,1.100000000000000000e+01
-1.228946981300417974e+03,-7.547934965272369254e+02,-3.147007111503146007e+03,-2.491734111134243904e+03,-6.139868575462428453e+02,-1.103958360658815309e+03,-8.097498144539295026e+03,-2.592403211269579060e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,1.200000000000000000e+01
-1.647821476246753264e+03,-1.377077232971951162e+03,-3.328395201961595831e+03,-2.537848351176207871e+03,-1.143653746989534739e+03,-1.627463132426151105e+03,-8.672692288574937265e+03,-2.946662579291471047e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,1.300000000000000000e+01
-1.972147026707959412e+03,-1.634837375497918629e+03,-3.510601254761559176e+03,-2.559213698630393083e+03,-1.307436138183322782e+03,-1.844823135155819273e+03,-9.518768551913290139e+03,-3.215539927618684487e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,1.400000000000000000e+01
-1.693589050091391982e+03,-1.241221992956250688e+03,-3.483426181084533255e+03,-2.487676237274446976e+03,-9.680252176475623855e+02,-1.475190577063405271e+03,-1.048810737549856640e+04,-3.097619464993362271e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,1.500000000000000000e+01
-1.410014699674395160e+03,-1.182634376377212220e+03,-3.412371093498014034e+03,-2.550179754793587563e+03,-1.098055942781001704e+03,-1.466119851862434416e+03,-1.048322131233607979e+04,-2.951666095556020537e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,1.600000000000000000e+01
-1.404940674041441525e+03,-1.602511718410427420e+03,-3.403114959264909430e+03,-2.614971406468938312e+03,-1.518344354089417266e+03,-1.861854743829885365e+03,-1.017052479138152194e+04,-3.020408381910591743e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,1.700000000000000000e+01
-1.133819030142128668e+03,-1.488937605679985609e+03,-3.337158109926885118e+03,-2.324660992743691168e+03,-1.057367099672093900e+03,-1.606024789033406250e+03,-1.132789968513165331e+04,-3.066932996548496703e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,1.800000000000000000e+01
-8.707476178785564116e+02,-1.197201706197530712e+03,-3.338986749949579462e+03,-2.087195559352295277e+03,-5.269353945096804637e+02,-1.229972051310868892e+03,-1.279535010785792838e+04,-3.095830477810867706e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,1.900000000000000000e+01
-1.405487671145493323e+03,-1.856704694127922721e+03,-3.569604385422839187e+03,-2.464565834480876219e+03,-1.450582789033781410e+03,-2.009727460649449085e+03,-1.231777979452227373e+04,-3.304384196634281579e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,2.000000000000000000e+01
-1.762211820999681095e+03,-2.158179923059278735e+03,-3.564741830998178102e+03,-2.672643332502440444e+03,-1.982534652682883461e+03,-2.389258389156862904e+03,-1.213185702090250197e+04,-3.250316659262786743e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,2.100000000000000000e+01
-5.766061550200633974e+02,-5.179348410093955408e+02,-2.977485975023870196e+03,-1.822934204505139860e+03,8.406154046311212369e+01,-5.207003761545303178e+02,-1.515013064217419560e+04,-2.590635781741667415e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,2.200000000000000000e+01
1.768090440938622123e+02,-1.124740059153858738e+02,-2.814652398292836097e+03,-1.389257071643591871e+03,8.465949867569883054e+02,5.061704454176037871e+01,-1.643531840669688245e+04,-2.509854539464355184e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,2.300000000000000000e+01
-2.871255541261006783e+03,-5.473007513478482906e+03,-4.304008137964592606e+03,-3.594585308146341049e+03,-5.482587754657432015e+03,-5.800813369690432410e+03,-8.583311094206401322e+03,-4.406889691919139295e+03,9.446745872497558594e+00,-7.649186849594116211e-01,-1.568083524703979492e+00,2.400000000000000000e+01
-8.589357144628298556e+03,-1.419687437221783330e+04,-6.661261745346417229e+03,-7.460210382586906235e+03,-1.614338971013160517e+04,-1.547008168053678310e+04,4.774074052377922271e+03,-7.288856124362598166e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,2.500000000000000000e+01
-1.208089345618824882e+04,-1.904590078195460592e+04,-7.852824044543302989e+03,-9.633910196992626879e+03,-2.217576209237922376e+04,-2.087461077660740557e+04,1.199461903437041292e+04,-8.741804442942910100e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,2.600000000000000000e+01
-1.163015945406413812e+04,-1.829640144312609118e+04,-7.495627221405748060e+03,-9.173901877962027356e+03,-2.120003951425991909e+04,-2.000134303706238279e+04,1.014447847955011457e+04,-8.379288184473552974e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,2.700000000000000000e+01
-1.027537017186818048e+04,-1.691414485463868914e+04,-7.061075810045369508e+03,-8.323616332300507565e+03,-1.924062767525307208e+04,-1.835865921677628285e+04,7.214217799938352073e+03,-7.969552378703215254e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,2.800000000000000000e+01
-1.028441373299020961e+04,-1.766392494593779702e+04,-7.304663566467558667e+03,-8.531251371498665321e+03,-1.997835852175831678e+04,-1.913400075477741848e+04,7.828219781883723044e+03,-8.319699572444551450e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,2.900000000000000000e+01
-1.065814551414260859e+04,-1.825853799768446697e+04,-7.484579644711275250e+03,-8.869939443226952790e+03,-2.084545704515247053e+04,-1.985523818731553547e+04,8.321600660361196788e+03,-8.485735117005548091e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,3.000000000000000000e+01
-1.039040658161842839e+04,-1.736913690258650604e+04,-7.145320406840271971e+03,-8.554248927921727955e+03,-1.999571839439311225e+04,-1.894154123084506136e+04,6.380955314513544181e+03,-8.022220524792084689e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,3.100000000000000000e+01
-1.011595808285578823e+04,-1.683404809817596833e+04,-6.843955510493808106e+03,-8.188241744550843578e+03,-1.929834271027044451e+04,-1.830022551605727131e+04,4.876424105017711554e+03,-7.719529114975443918e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,3.200000000000000000e+01
-1.014124063128694252e+04,-1.745826618654801496e+04,-6.938044810876815973e+03,-8.212156260920857676e+03,-1.976390563771676898e+04,-1.886628349844518743e+04,5.116759584262367753e+03,-7.961528395517110766e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,3.300000000000000000e+01
-9.921504653789390431e+03,-1.777275412593468354e+04,-7.060081959717434074e+03,-8.236872467633076667e+03,-1.999798158289651110e+04,-1.916914199413266761e+04,4.829130520142683963e+03,-8.155543962018808998e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,3.400000000000000000e+01
-9.559697216001226479e+03,-1.719862203771551503e+04,-6.929381962666067921e+03,-8.072368273958241844e+03,-1.948761346941073498e+04,-1.861287834962821216e+04,3.348755183093391224e+03,-7.929747901491383345e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,3.500000000000000000e+01
-9.615140752695608171e+03,-1.675800258891237900e+04,-6.715780105740129329e+03,-7.952881349426417728e+03,-1.920083220876569249e+04,-1.820246550141338957e+04,2.321919877207319587e+03,-7.617935618592939136e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,3.600000000000000000e+01
-9.812627491676110367e+03,-1.687627929600829157e+04,-6.593970555995349059e+03,-7.873001106580712076e+03,-1.930753758228568040e+04,-1.828838986170663338e+04,1.839700972270629336e+03,-7.536584812150169455e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,3.700000000000000000e+01
-9.559687610766906801e+03,-1.701566914498908955e+04,-6.559026323365427743e+03,-7.690084673783638209e+03,-1.920656160943300347e+04,-1.832310091885034126e+04,8.879157083589329886e+02,-7.619513496669522283e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,3.800000000000000000e+01
-9.108932740729425859e+03,-1.693925323436253530e+04,-6.571491600900596495e+03,-7.548371098781729415e+03,-1.897735111795611738e+04,-1.819289918269324698e+04,-7.563757902679299150e+00,-7.682103586289898885e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,3.900000000000000000e+01
-9.033279803871011609e+03,-1.676668338264359045e+04,-6.540646997315421686e+03,-7.564191720077535138e+03,-1.894423405614033982e+04,-1.807900068989387728e+04,-3.987244230826959210e+02,-7.586748800147726797e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,4.000000000000000000e+01
-9.226203533329047787e+03,-1.649589102990816900e+04,-6.367148438148320565e+03,-7.529333362291690719e+03,-1.885598481033786811e+04,-1.786203962053809300e+04,-1.459496156249199430e+03,-7.328444583863765729e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,4.100000000000000000e+01
-9.221369444208168716e+03,-1.626793001220021688e+04,-6.150548067524721773e+03,-7.311731312570494993e+03,-1.855032302026700563e+04,-1.757618314569724680e+04,-3.165416400290327147e+03,-7.128165208843234723e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,4.200000000000000000e+01
-8.942772518914976899e+03,-1.632720371477632943e+04,-6.094081856046816938e+03,-7.105902079672759101e+03,-1.836576847294838080e+04,-1.753636822554458195e+04,-3.737031162185952780e+03,-7.179545183392088802e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,4.300000000000000000e+01
-8.663072593250675709e+03,-1.646530595882669877e+04,-6.166176232251706097e+03,-7.067907920764777373e+03,-1.840841287783876396e+04,-1.766030341493164815e+04,-3.587689315995377001e+03,-7.309581293883656144e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.644575238227844238e+00,4.400000000000000000e+01
