F3,F4,C3,C4,P3,P4,Cz,Pz,Accel_x,Accel_y,Accel_z,Sample
2.546585164964199066e-11,4.547473508864641190e-12,3.183231456205248833e-12,-5.002220859751105309e-12,-1.182343112304806709e-11,1.546140993013978004e-11,3.637978807091712952e-12,2.273736754432320595e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000291196400508343e+05,1.881589243006206234e+05,7.698912269755431043e+04,9.846991199504310498e+04,1.967189628862035752e+05,1.976051163390672009e+05,1.087832812844473810e+05,8.351214025993004907e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,1.000000000000000000e+00
2.635363089139942895e+05,2.480878852810535464e+05,1.013071801654863521e+05,1.294862807856029540e+05,2.592209743669092131e+05,2.601970060337660834e+05,1.428174566396775190e+05,1.098935323372707644e+05,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,2.000000000000000000e+00
2.302269838203230465e+05,2.169716274228852417e+05,8.812430593014917395e+04,1.125419173458271398e+05,2.264982788188659470e+05,2.270516929594508547e+05,1.238922557657372672e+05,9.556773413383468869e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,3.000000000000000000e+00
2.147509049271711265e+05,2.023891426803138165e+05,8.157354193225030031e+04,1.043307151250912138e+05,2.112636884827562317e+05,2.116399136441420997e+05,1.148053022311260574e+05,8.853429879224406614e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,4.000000000000000000e+00
2.330565517414209025e+05,2.193776312585447449e+05,8.802660745608301659e+04,1.129497599126081623e+05,2.292497131239258742e+05,2.298050735331939650e+05,1.242602696713716141e+05,9.585789568276068894e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,5.000000000000000000e+00
2.352297972023359325e+05,2.212226053856073413e+05,8.857959144468946033e+04,1.136267893398894666e+05,2.313551589789514837e+05,2.320475400536631350e+05,1.248183776837847981e+05,9.679628334772592643e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,6.000000000000000000e+00
2.204843922665462596e+05,2.072723146344067645e+05,8.303741052529492299e+04,1.057310442438613827e+05,2.167078025834316213e+05,2.173829728509684501e+05,1.160929420358364296e+05,9.069871180240582908e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,7.000000000000000000e+00
2.197298156372299418e+05,2.065357159710028791e+05,8.303270401589771791e+04,1.048345907498800516e+05,2.157279621921656653e+05,2.164327436115835153e+05,1.151459355990346812e+05,9.031707544972097094e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,8.000000000000000000e+00
2.274316618543977384e+05,2.137985903876140364e+05,8.597186333355322131e+04,1.087053749749295675e+05,2.231468659676831157e+05,2.239611826339973486e+05,1.188672296092718461e+05,9.353373020167890354e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,9.000000000000000000e+00
2.237944711685582006e+05,2.104679760125500616e+05,8.402538141877891030e+04,1.072951384007502347e+05,2.195674630951010331e+05,2.204309250674612995e+05,1.162408003847844084e+05,9.214991531601425959e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,1.000000000000000000e+01
2.167504065859163529e+05,2.039337872599191905e+05,8.055776980832112895e+04,1.037508164154268452e+05,2.126693226334809733e+05,2.135146703640812193e+05,1.117964389172987721e+05,8.935420633385957626e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,1.100000000000000000e+01
2.182736539381514594e+05,2.053834243491661327e+05,8.065922508609901706e+04,1.038869203955613775e+05,2.141364474634726357e+05,2.150068925015188579e+05,1.123712389791290771e+05,9.018485836445426685e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,1.200000000000000000e+01
2.202224230781601800e+05,2.072259775114507356e+05,8.122846767402127443e+04,1.043065494748695492e+05,2.160173179666933138e+05,2.169801942090849916e+05,1.131491198407985794e+05,9.123615454522454820e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,1.300000000000000000e+01
2.162249074767588754e+05,2.035647237835061387e+05,7.942981835305325512e+04,1.022582254026337905e+05,2.121092387535090384e+05,2.131669079331868561e+05,1.101582250928573194e+05,8.948456759106424579e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,1.400000000000000000e+01
2.132374601033474901e+05,2.009012804460804618e+05,7.779397006630673422e+04,1.010430469436400308e+05,2.092343214611714648e+05,2.103475460231740144e+05,1.076962042285377538e+05,8.770809210467166849e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,1.500000000000000000e+01
2.138252587627179164e+05,2.015676344887868618e+05,7.755455260455186362e+04,1.015947553851114208e+05,2.098799506509275234e+05,2.110252806830205081e+05,1.077940718084965920e+05,8.756031584474960982e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,1.600000000000000000e+01
2.130650678565022536e+05,2.009638895133692131e+05,7.696879138865160348e+04,1.011570236028600484e+05,2.091954095801799849e+05,2.103901650140182464e+05,1.071499200214390439e+05,8.743769554441278160e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,1.700000000000000000e+01
2.106541148240122420e+05,1.988464281351724931e+05,7.585887080001125287e+04,9.961611090509731730e+04,2.068857115438594192e+05,2.081507847245139128e+05,1.050436596797575185e+05,8.679648636897151300e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,1.800000000000000000e+01
2.090897660333633830e+05,1.974913007653276727e+05,7.516091503275158175e+04,9.873553629374531738e+04,2.054109271761076525e+05,2.067124923024922900e+05,1.036692636544683191e+05,8.613330520867941959e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,1.900000000000000000e+01
2.078114705978977145e+05,1.963137090415474668e+05,7.454088893597216520e+04,9.840293895764910849e+04,2.041950193750911858e+05,2.054806918417148700e+05,1.028776908283959783e+05,8.533627641774449148e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,2.000000000000000000e+01
2.069020498256025312e+05,1.954648721429719008e+05,7.385319427635216562e+04,9.802471979787608143e+04,2.032758525363048830e+05,2.045634502295160783e+05,1.013072390219713270e+05,8.480236378507417976e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,2.100000000000000000e+01
2.066610399557291530e+05,1.952836618931978301e+05,7.349438905284323846e+04,9.752233152000211703e+04,2.029766946090152487e+05,2.043176135826523823e+05,9.942646229891783150e+04,8.474351061778038274e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,2.200000000000000000e+01
2.045300312755438499e+05,1.933042911813664832e+05,7.282648922763852170e+04,9.630492292675634963e+04,2.008506819995680125e+05,2.022385131386396242e+05,9.805862985859354376e+04,8.404232353091731784e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,2.300000000000000000e+01
2.014372627902839449e+05,1.903763492252104916e+05,7.159339964837608568e+04,9.490208253994185361e+04,1.977596901740020548e+05,1.991882827379273076e+05,9.702623628833385010e+04,8.293889291908266023e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,2.400000000000000000e+01
2.021702546677128121e+05,1.910711683972230821e+05,7.097920984465177753e+04,9.496904163746976701e+04,1.983267650500669261e+05,1.998558224028722616e+05,9.616323618537787115e+04,8.324286649953728192e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,2.500000000000000000e+01
2.035253728675170569e+05,1.923694662657373119e+05,7.078528832801384851e+04,9.533993858186218131e+04,1.995328645108060737e+05,2.011554235132478934e+05,9.528511534948533517e+04,8.382514991458697477e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,2.600000000000000000e+01
1.985550528954978508e+05,1.876721991318873770e+05,6.951882870909277699e+04,9.359804897964217525e+04,1.947142901712063467e+05,1.963022662784774147e+05,9.383175379953152151e+04,8.209039818201922753e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,2.700000000000000000e+01
1.943610458096555667e+05,1.837359605406716000e+05,6.855489072977290198e+04,9.221456632778028143e+04,1.906729503712008591e+05,1.922141905096483242e+05,9.219014292305451818e+04,8.051243720215575013e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,2.800000000000000000e+01
2.010361808772689255e+05,1.901395209351084486e+05,7.016438751518198114e+04,9.459253516912690247e+04,1.970743624146316433e+05,1.987438483893193479e+05,9.149898657184279000e+04,8.279931035595390131e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,2.900000000000000000e+01
2.031859069793928938e+05,1.921914271120374615e+05,7.070572297727159457e+04,9.514597646422800608e+04,1.990459168480797671e+05,2.008235694392031874e+05,9.088583796989571420e+04,8.366853470661363099e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,3.000000000000000000e+01
1.760174149513599114e+05,1.662862025211343425e+05,6.412578732660446985e+04,8.521807161705756153e+04,1.727007881442951912e+05,1.741909770283791877e+05,8.804332560327593819e+04,7.437577130971250881e+04,9.408499717712402344e+00,3.824593871831893921e-02,-7.266727685928344727e-01,3.100000000000000000e+01
1.300404265301319247e+05,1.224667015345261607e+05,5.284624259774242091e+04,6.879387874872118118e+04,1.282215334133234428e+05,1.291379776731307211e+05,8.333605477133304521e+04,5.845242444693152356e+04,9.484992027282714844e+00,1.529837548732757568e-01,-7.266727685928344727e-01,3.200000000000000000e+01
1.026444331713988649e+05,9.636649363602694939e+04,4.599050967535747623e+04,5.911804171563690034e+04,1.016965607456749567e+05,1.022751624866020866e+05,7.980641627382917795e+04,4.888795776710975042e+04,9.484992027282714844e+00,1.529837548732757568e-01,-7.266727685928344727e-01,3.300000000000000000e+01
1.046727748803807190e+05,9.830826439303012739e+04,4.636990958238759049e+04,5.978723508656088234e+04,1.035789061682628526e+05,1.042295420743812283e+05,7.876123501056857640e+04,4.955809049806863914e+04,9.484992027282714844e+00,1.529837548732757568e-01,-7.266727685928344727e-01,3.400000000000000000e+01
1.115422376421855151e+05,1.048673229933589901e+05,4.804737046217657189e+04,6.199697669670814503e+04,1.101467173034105945e+05,1.109380796515247202e+05,7.841452782465993369e+04,5.200578719033987727e+04,9.484992027282714844e+00,1.529837548732757568e-01,-7.266727685928344727e-01,3.500000000000000000e+01
